"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","State or Federal Agency ID","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Source Agency","Latitude","Longitude","County","State","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional Representative District","Congressional Representative","Section, Township, or Range Location","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Primary Purpose","Purposes","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Lock Width (Ft)","Years Modified","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL"
"Diamond Lake Aeration Lagoon No. 3","","","WA00567","","WA00567","DIAMOND LAKE SEWER DIST","Public Utility","Public Utility","PO55-0567","0","PACIFIC ENVIRON. CONSULTANTS","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.129095","-117.16453899999999","Pend Oreille","Washington","NONE","0","TR-LITTLE SPOKANE RIVER-OFFSTR","Congressional District 05, Washington","Cathy McMorris Rodgers (R)","S6 T30 R45E","","","","","","","","","Other","Other","Earth","Earth","Plastic","Rock;Soil","17","17","18","18","Less than 25 feet","1570","0","1987","1980-1989","61","61","51","51","10","20","","0","0","0","0","","","2021-04-09","2016-07-21","5","High","Fair","2017-03-08","Yes","1997-07-01","https://damsafety.org/washington"
"Burnt Ridge Surface Impoundment","","","WA02055","","WA02055","THODE FAMILY TRUST","Private","Private","LE26-2055","","","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.5956331","-122.5921842","Lewis","Washington","","","","Congressional District 03, Washington","","","","","","","","","","","Other","Other","Earth","Earth","","","14","14","14","14","Less than 25 feet","660","","1998","1990-1999","10","10","9","","0.05","","","","","","","","","2021-04-09","2017-07-24","5","Significant","Fair","2018-04-18","No","","https://damsafety.org/washington"
"Con Agra Foods Main Storage Basin Dam","Lamb-Westin Dam","","WA00023","","WA00023","LAMB-WESTON INC","Private","Private","FR36-0023","0","A.D. STANLEY & ASSO.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.652623999999996","-118.880341","Franklin","Washington","MESA","10","TR-ESQUATZEL COULEE","Congressional District 04, Washington","Dan Newhouse (R)","S35 T14 R31E","","","","","","","","","Other","Other","Earth","Earth","Earth","Unlisted/Unknown","23","23","23","23","Less than 25 feet","2083","0","1970","1970-1979","123","123","84","84","0.41000000000000003","160","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Hilltop Waterski Pond","","","WA00616","","WA00616","SKOOG, GORDON M & HILDUR C","Private","Private","SN07-0616","0","PERTEET ENGINEERING","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.108143","-122.125644","Snohomish","Washington","NONE","0","TR - QUILCEDA CREEK","Congressional District 02, Washington","Rick Larsen (D)","S2 T30 R5E","","","","","","","","","Recreation","Recreation","Earth","Earth","Earth","Soil","23","23","26","26","25-50 feet","4200","0","1995","1990-1999","130","130","100","100","0.04","16","","0","0","0","0","","","2021-04-09","2016-05-16","5","High","Fair","2016-05-16","No","","https://damsafety.org/washington"
"Heidenreich Dam","<Unknown>","","WA00167","","WA00167","HOOTON, EDWARD J & MELISSA W","Private","Private","SJ02-0167","0","USDA NRCS","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.50617","-123.103785","San Juan","Washington","NONE","","TR-STRAIT OF JUAN DE FUCA","Congressional District 02, Washington","Rick Larsen (D)","S29 T35 R3W","","","Natural Resources Conservation Service","","","","","","Recreation","Recreation","Earth","Earth","Earth","Soil","11","11","16","16","Less than 25 feet","215","0","1972","1970-1979","108","108","92","18","0.35000000000000003","74","","0","0","0","0","","","2021-05-24","2000-01-13","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Edaleen Dairy Waste Storege Pond No 2","","","WA01694","","WA01694","EDALEEN DAIRY PRODUCTS","Private","Private","WH01-1694","","","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.98406162","-122.4578378","Whatcom","Washington","","","","Congressional District 01, Washington","","","","","","","","","","","Other","Other","Earth","Earth","","","14.25","6.45","14.25","14.25","Less than 25 feet","1440","","1989","1980-1989","19","19","18.5","","0.01","","","","","","","","","2021-04-09","2019-07-10","5","High","Fair","2019-07-10","No","","https://damsafety.org/washington"
"Fire Mountain Boy Scout Camp Dam A","","Cultus Mountain Reservoir Dam A","WA00382","","WA00382","BOY SCOUTS OF AMERICA MT. BAKER COUNCIL","Private","Private","SK03-0382","0","RUSKIN FISHER & ASSOC.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.393111","-122.18945","Skagit","Washington","CLEAR LAKE","5","TR-E FORK NOOKACHAMPS CREEK","Congressional District 01, Washington","Suzan K. DelBene (D)","S32 T34 R5E","","","","","","","","","Recreation","Recreation","Earth","Earth","Earth","Soil","20","20","20","20","Less than 25 feet","500","0","1971","1970-1979","366","366","320","32.5","0.8200000000000001","60","","0","0","0","0","","","2021-04-09","2019-12-16","5","High","Fair","2019-12-16","No","","https://damsafety.org/washington"
"Liberty Acres Lagoon 14","Liberty Acres Dam No. 2","","WA02020","","WA02020","LIBERTY DAIRY LLC","Private","Private","YA37-2020","0","","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.39704436","-120.1528197","Yakima","Washington","GRANGER","3.5","","Congressional District 04, Washington","Dan Newhouse (R)","S35 T11 R21E","","","","","","","","","Other","Other","Earth","Earth","Earth","Soil","7","7","7","7","Less than 25 feet","570","0","1990","1990-1999","13","13","10","2.4","0.02","","","0","0","0","0","","","2021-04-09","2015-10-28","5","Significant","Fair","2015-10-28","No","","https://damsafety.org/washington"
"Mccormick North Phase I East Pond","","","WA01891","","WA01891","PORT ORCHARDS CITY","Local Government","Local Government","KT15-1891","0","GOLDSMITH & ASSOC.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.51237919","-122.6830478","Kitsap","Washington","","0","OFFSTREAM - ANDERSON CREEK","Congressional District 06, Washington","Derek Kilmer (D)","S4 T23 R1E","","","","","","","","","Flood Risk Reduction","Flood Risk Reduction","Earth","Earth","Earth","Soil","30","30","30","30","25-50 feet","850","0","2009","Since 2000","27","27","8","2.6","0.12","123","","0","0","0","0","2007O","","2021-04-09","2018-06-07","5","High","Fair","2018-06-07","Yes","2018-07-01","https://damsafety.org/washington"
"Van Stone Pit Lake Dam","","","WA02033","","WA02033","STEVENS COUNTY","Local Government","Local Government","ST61-2033","","","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.75957535","-117.7619249","Stevens","Washington","","","","Congressional District 05, Washington","","","","","","","","","","","Tailings","Tailings","Earth","Earth","","","25","25","25","25","25-50 feet","100","","1999","1990-1999","448","448","103","","","","","","","","","","","2021-04-09","2016-06-29","5","High","Unsatisfactory","2017-04-14","No","","https://damsafety.org/washington"
"Mcdonald Dam","","","WA00017","","WA00017","MC DONALD-MOON FARMS INC","Private","Private","GR42-0017","0","UNKNOWN","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.648367","-119.108896","Grant","Washington","NONE","0","TR-CRAB CREEK","Congressional District 04, Washington","Dan Newhouse (R)","S24 T25 R29E","","","","","","","","","Flood Risk Reduction","Flood Risk Reduction","Earth","Earth","Earth","Soil","10","10","12","12","Less than 25 feet","880","0","1924","1920-1929","200","200","200","200","27.400000000000002","","","0","0","0","0","","","2021-04-09","1999-10-10","0","Low","Not Rated","","No","","https://damsafety.org/washington"
"Spoils Pond Dam","","","WA00552","","WA00552","COSMO SPECIALTY FIBERS INC.","Private","Private","GH22-0552","0","WEYERHAUSER","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.953148","-123.834611","Grays Harbor","Washington","ABERDEEN","0","GRAYS HARBOR-OFFSTREAM","Congressional District 06, Washington","Derek Kilmer (D)","S17 T17 R9W","","","","","","","","","Other","Other","Earth","Earth","Earth","Soil","14","14","14","14","Less than 25 feet","4750","0","1970","1970-1979","365","365","260","260","0.3","2","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Issaquah Highlands Reid Pond Dam","","","WA00680","","WA00680","ISSAQUAH CITY","Local Government","Local Government","KI08-0680","0","CONCEPT ENGINEERING","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.53783155","-122.0272533","King","Washington","ISSAQUAH","1","NF ISSAQUAH CREEK - OFFSTREAM","Congressional District 08, Washington","Kim Schrier (D)","S27 T24 R6E","","","","","","","","","Flood Risk Reduction","Flood Risk Reduction","Earth","Earth","Earth","Soil","38","38","38","38","25-50 feet","250","0","2002","Since 2000","69","69","62","2.25","0.18","290","","0","0","0","0","2002O","","2021-04-09","2018-04-26","5","High","Fair","2018-04-26","Yes","2009-10-01","https://damsafety.org/washington"
"Skagit Lake Dam","Lake Tyee","","WA00182","","WA00182","LAKE TYEE CO","Private","Private","SK04-0182","0","SIBOLD, MINISH, WEBB","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.578646","-121.77096","Skagit","Washington","BIRDSVIEW","7","GRANDY CREEK","Congressional District 01, Washington","Suzan K. DelBene (D)","S28 T36 R8E","","","","","","","","","Recreation","Recreation","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","17","17","19","19","Less than 25 feet","330","0","1971","1970-1979","343","343","258","42","1.1500000000000001","166","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Davenport Sewage Lagoon No. 1","","","WA01603","","WA01603","DAVENPORT CITY","Local Government","Local Government","LI53-1727","0","PACIFIC ENVIRON. CONSUTANTS","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.666545","-118.144417","Lincoln","Washington","DAVENPORT","1","TR-COTTONWOOD CREEK-OFFSTREAM","Congressional District 05, Washington","Cathy McMorris Rodgers (R)","S16 T25 R37E","","","","","","","","","Other","Other","Earth","Earth","Plastic","Soil","11","11","11","11","Less than 25 feet","2360","0","1987","1980-1989","48","48","33","7.1000000000000005","0.01","","","0","0","0","0","","","2021-04-09","2016-07-15","5","High","Fair","2016-06-15","Yes","2019-10-28","https://damsafety.org/washington"
"Tree Top (Selah) Wastewater Lagoon","","","WA01708","","WA01708","TREE TOP INC","Private","Private","YA39-1708","0","GRAY & OSBORNE","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.671475","-120.496308","Yakima","Washington","NONE","0","TR-YAKIMA RIVER","Congressional District 04, Washington","Dan Newhouse (R)","S30 T14 R19E","","","","","","","","","Other","Other","Earth","Earth","Plastic","Soil","15","15","15","15","Less than 25 feet","3317","0","1991","1990-1999","210","210","168","168","0.02","9","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"D'Hondt Dam","","","WA00561","","WA00561","DHONDT, JOHN","Private","Private","ST59-0561","0","USDA SCS","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.255489","-117.989985","Stevens","Washington","NONE","0","TR-STENSGAR CREEK","Congressional District 05, Washington","Cathy McMorris Rodgers (R)","S23 T32 R38E","","","","","","","","","Irrigation","Irrigation;Recreation","Earth","Earth","Earth","Soil","16","16","18","18","Less than 25 feet","90","0","1983","1980-1989","110","110","80","13","0.14","107","","0","0","0","0","","","2021-04-09","1997-10-15","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Miller Reservoir Dam","","","WA00047","","WA00047","LOAN, DONALD & FRANCES E","Private","Private","ST59-0047","0","USDA NRCS","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.275546","-117.961534","Stevens","Washington","NONE","","KLINE CREEK-OFFSTREAM","Congressional District 05, Washington","Cathy McMorris Rodgers (R)","S13 T32 R38E","","","Natural Resources Conservation Service","","","","","","Irrigation","Irrigation;Recreation","Earth","Earth","Earth","Unlisted/Unknown","13","13","14","14","Less than 25 feet","200","0","1959","1950-1959","98","98","62","10","0.2","82","","0","0","0","0","","","2021-05-24","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Lords Lake East Dam","","","WA00357","","WA00357","PORT TOWNSEND CITY","Local Government","Local Government","JE17-0357","0","JOHN W. CUNNINGHAM & ASSO.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.880832999999996","-122.931498","Jefferson","Washington","QUILCENE","5","TR-HOWE CREEK","Congressional District 06, Washington","Derek Kilmer (D)","S33 T28 R2W","","","","","","","","","Water Supply","Water Supply","Earth","Earth","Unlisted/Unknown","Rock;Soil","34.5","34.5","42","42","25-50 feet","600","0","1956","1950-1959","1860","1860","1480","56","0.5","190","","0","0","0","0","","","2021-04-09","2020-06-02","5","High","Poor","2020-06-02","Yes","2021-02-08","https://damsafety.org/washington"
"Loutsis Dam","","","WA00187","","WA00187","LOUTSIS, CHRIS & CAROLINE","Private","Private","KI07-0187","0","USDA NRCS","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.721992","-121.979478","King","Washington","DUVALL","","TR-SNOQUALMIE RI","Congressional District 01, Washington","Suzan K. DelBene (D)","S24 T26 R6E","","","Natural Resources Conservation Service","","","","","","Irrigation","Irrigation;Recreation","Earth","Earth","Earth","Soil","18","18","22","22","Less than 25 feet","395","0","1970","1970-1979","138","138","97","97","0.78","97","","0","0","0","0","","","2021-05-24","2000-01-06","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Serene Lake","","","WA00095","","WA00095","LAKE SERENE ASSOC","Private","Private","PI11-0095","0","R.D. STRAND","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.970828","-122.51268","Pierce","Washington","NONE","0","TR-MURRAY CREEK","Congressional District 08, Washington","Kim Schrier (D)","S11 T17 R2E","","","","","","","","","Recreation","Recreation","Earth","Earth","Earth","Soil","6","6","9","9","Less than 25 feet","370","0","1971","1970-1979","60","60","36","25","0.16","18","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Erickson Dam No. 2","","","WA00162","","WA00162","RAINBOW LAKE OWNERS ASSOCIATION","Private","Private","SJ02-0162","0","USDA NRCS","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.542415999999996","-123.078674","San Juan","Washington","NONE","","TR-FALSE BAY","Congressional District 02, Washington","Rick Larsen (D)","S9 T35 R3W","","","Natural Resources Conservation Service","","","","","","Recreation","Recreation","Earth","Earth","Earth","Soil","12","12","14","14","Less than 25 feet","218","0","1964","1960-1969","53","53","47","47","0.3","","","0","0","0","0","","","2021-05-24","2000-01-13","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Nookachamps Hills Dam","","","WA00141","","WA00141","NOOKACHAMP HILLS HOA","Private","Private","SK03-0141","0","LEGRO & JUDY","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.398429","-122.225826","Skagit","Washington","MOUNT VERNON","13","TR-NOOKACHAMPS CREEK","Congressional District 01, Washington","Suzan K. DelBene (D)","S31 T34 R5E","","","","","","","","","Flood Risk Reduction","Recreation;Flood Risk Reduction","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","45","45","50","50","25-50 feet","1350","0","1969","1960-1969","126","126","109","109","0.3","127","","0","0","0","0","","","2021-04-09","2018-08-02","5","Significant","Poor","2018-08-02","No","","https://damsafety.org/washington"
"Cedar Lake Dam","Marney Lake Dam","","WA00046","","WA00046","CEDAR LAKE RANCH","Private","Private","PO62-0046","0","USDA NRCS","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.206965","-117.250502","Pend Oreille","Washington","USK","","TR-DEER CREEK","Congressional District 05, Washington","Cathy McMorris Rodgers (R)","S9 T31 R44E","","","Natural Resources Conservation Service","","","","","","Irrigation","Irrigation;Recreation","Earth","Earth","Earth","Soil","19","19","23","23","Less than 25 feet","280","0","1967","1960-1969","50","50","21","5","0.32","355","","0","0","0","0","","","2021-05-24","2015-09-09","5","High","Fair","2015-09-09","No","","https://damsafety.org/washington"
"Goodrow Dam","","","WA00161","","WA00161","JAMES L ROUSH &, MARY R EVANS","Private","Private","SJ02-0161","0","USDA NRCS","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.461979","-122.899106","San Juan","Washington","NONE","","TR-DAVIS BAY","Congressional District 02, Washington","Rick Larsen (D)","S11 T34 R2W","","","Natural Resources Conservation Service","","","","","","Recreation","Recreation","Earth","Earth","Earth","Soil","25","25","27","27","25-50 feet","167","0","1964","1960-1969","52","52","38","38","0.02","300","","0","0","0","0","","","2021-05-24","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Seatac Airport Pond M","","","WA02038","","WA02038","PORT OF SEATTLE","Local Government","Local Government","KI09-2038","","","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.46744423","-122.3129988","King","Washington","","","","Congressional District 09, Washington","","","","","","","","","","","Flood Risk Reduction","Flood Risk Reduction","Earth","Earth","","","11","11","11","11","Less than 25 feet","","","2011","Since 2000","27","27","1","","0.25","","","","","","","","","2021-04-09","2016-05-12","5","High","Fair","2016-05-12","Yes","2016-05-16","https://damsafety.org/washington"
"Loers Dam","","","WA00157","","WA00157","WHIDBEY GOLF & COUNTRY CLUB","Private","Private","IS06-0157","0","USDA NRCS","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.286345999999995","-122.688783","Island","Washington","NONE","","TR-PUGET SOUND","Congressional District 02, Washington","Rick Larsen (D)","S4 T32 R1E","","","Natural Resources Conservation Service","","","","","","Irrigation","Irrigation;Recreation","Earth","Earth","Earth","Soil","6","6","9","9","Less than 25 feet","1500","0","1958","1950-1959","51","51","37","10","2.5","54","","0","0","0","0","","","2021-05-24","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Coleman Dam","","","WA01864","","WA01864","RABBITBRUSH RANCH LLC","Private","Private","YA37-1864","","","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.42646437","-120.1192197","Yakima","Washington","","","","Congressional District 04, Washington","","","","","","","","","","","Other","Other","Earth","Earth","","","22","22","22","22","Less than 25 feet","1050","","1982","1980-1989","29","29","25","","","","","","","","","","","2021-04-09","2017-04-11","5","High","Poor","2017-04-11","No","","https://damsafety.org/washington"
"Wapato Lake Dam","","","WA00321","","WA00321","LAKE CHELAN RECLAMATION DIST","Public Utility","Public Utility","CH47-0321","0","UNKNOWN","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.924565","-120.178139","Chelan","Washington","MANSON","4","TR-LAKE CHELAN","Congressional District 08, Washington","Kim Schrier (D)","S15 T28 R21E","","","","","","","","","Recreation","Recreation","Rockfill","Rockfill;Earth","Earth","Rock;Soil","20","20","40","40","25-50 feet","540","0","1912","1910-1919","3500","3500","2000","220","15.3","40","","0","0","0","0","1995O","","2021-04-09","2018-10-09","5","High","Fair","2018-10-09","Yes","2019-11-26","https://damsafety.org/washington"
"Rosalia Stp","","","WA02045","","WA02045","ROSALIA STP","Local Government","Local Government","WT34-2045","0","","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.24149573","-117.3730446","Whitman","Washington","NONE","0","","Congressional District 05, Washington","Cathy McMorris Rodgers (R)","S10 T20 R43E","","","","","","","","","Other","Other","Other","Other","Unlisted/Unknown","Unlisted/Unknown","8","8","8","8","Less than 25 feet","","0","2012","Since 2000","37","37","28","","","","","0","0","0","0","","","2021-04-09","2018-09-19","5","High","Fair","2018-09-19","Yes","2019-03-13","https://damsafety.org/washington"
"Black Rock Orchards Dam","","","WA00506","","WA00506","ZINE & NAJIBA BADISSY","Private","Private","YA37-0506","0","CENTURY WEST ENGINEERING","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.49960364","-120.0996183","Yakima","Washington","MOXEE CITY","17","TR-YAKIMA RIVER","Congressional District 04, Washington","Dan Newhouse (R)","S29 T12 R22E","","","","","","","","","Irrigation","Irrigation","Earth","Earth","Earth","Soil","31","31","39","39","25-50 feet","600","0","1985","1980-1989","515","515","392","392","4","5500","","0","0","0","0","","","2021-04-09","2015-06-08","5","High","Poor","2015-08-21","No","","https://damsafety.org/washington"
"Sportsman Lake Dam","","","WA01135","","WA01135","KING, STEVEN L","Private","Private","SJ02-1135","0","USDA SCS","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.566085","-123.066221","San Juan","Washington","NONE","0","TR-SAN JUAN CHANNEL","Congressional District 02, Washington","Rick Larsen (D)","S33 T36 R3W","","","","","","","","","Irrigation","Irrigation;Recreation","Earth","Earth","Earth","Soil","5","5","7","7","Less than 25 feet","63","0","1960","1960-1969","500","500","272","250","","","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Ayer Reservoir Dam","","","WA00165","","WA00165","ORCAS SOUND LLC","Private","Private","SJ02-0165","0","E. GRAHAM","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.631364999999995","-122.89599799999999","San Juan","Washington","NONE","0","TR-EAST SOUND","Congressional District 02, Washington","Rick Larsen (D)","S1 T36 R2W","","","","","","","","","Recreation","Recreation","Earth","Earth","Earth","Soil","30","30","32","32","25-50 feet","465","0","1964","1960-1969","135","135","125","10.3","0.5","21","","0","0","0","0","","","2021-04-09","2000-08-03","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Sisco Heights Dam","","","WA01329","","WA01329","TROPHY PONDS HOA","Private","Private","SN05-1329","0","DEAN W. WILSON","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.148561","-122.07443599999999","Snohomish","Washington","ARLINGTON","6","TR-S FORK STILLAGUAMISH RIVER","Congressional District 01, Washington","Suzan K. DelBene (D)","S29 T31 R6E","","","","","","","","","Recreation","Recreation","Earth","Earth","Earth","Soil","10","10","16","16","Less than 25 feet","310","0","1984","1980-1989","37","37","21","21","0.39","66","","0","0","0","0","","","2021-04-09","2015-08-25","5","High","Fair","2015-08-25","No","","https://damsafety.org/washington"
"Evans Pond Dam","","","WA01919","","WA01919","EVANS FRUIT CO INC","Private","Private","YA37-1919","0","","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.59860963","-120.7636384","Yakima","Washington","YAKIMA","3","UNNAMED TR - WIDE HOLLOW CR","Congressional District 04, Washington","Dan Newhouse (R)","S24 T13 R16E","","","","","","","","","Irrigation","Irrigation","Earth","Earth","Earth","Soil","18","18","18","18","Less than 25 feet","340","0","1997","1990-1999","43","43","21.7","2.2","0.81","750","","0","0","0","0","","","2021-04-09","2015-04-16","5","High","Poor","2015-04-16","No","","https://damsafety.org/washington"
"Coweeman Gravel Pit No. 2","","","WA00305","","WA00305","DEROSIER TRUCKING","Private","Private","CZ26-0305","0","UNKNOWN","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.141377","-122.854561","Cowlitz","Washington","KELSO","3","TR-COWEMAN RIVER","Congressional District 03, Washington","Jaime Herrera Beutler (R)","S0 T0 R0W","","","","","","","","","Recreation","Recreation","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","10","10","12","12","Less than 25 feet","1000","0","1962","1960-1969","200","200","165","165","0.08","100","","0","0","0","0","","","2021-04-09","2000-01-03","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Tempo Lake Dam","","","WA00093","","WA00093","TEMPO LAKE GLADE ASSOC","Private","Private","TH13-0093","0","J.D. SWIFT","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.92914","-122.810221","Thurston","Washington","TUMWATER","12","TR-DESCHUTES RIVER","Congressional District 10, Washington","Denny Heck (D)","S28 T17 R1W","","","","","","","","","Recreation","Recreation","Gravity","Earth;Gravity","Concrete","Soil","10","10","10","10","Less than 25 feet","40","0","1960","1960-1969","460","460","400","32","0.96","39","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Koppert Pond","","","WA00500","","WA00500","WARREN FREECE","Private","Private","LE26-0500","0","MIAM A HAQ","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.483250999999996","-122.857067","Lewis","Washington","NONE","0","LACAMAS CREEK-OFFSTREAM","Congressional District 03, Washington","Jaime Herrera Beutler (R)","S31 T12 R1W","","","","","","","","","Recreation","Recreation","Earth","Earth","Earth","Soil","9","9","11","11","Less than 25 feet","3820","0","1984","1980-1989","92","92","60","12","0.03","5","","0","0","0","0","","","2021-04-09","2019-08-14","5","High","Fair","2019-08-14","No","","https://damsafety.org/washington"
"Engelsma Dairy Lagoo Dam","Engelsma Dairy Lagoon Dam","","WA01982","","WA01982","MEADOW PARK DAIRY","Private","Private","WH01-1982","0","","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.96951694","-122.4447171","Whatcom","Washington","LYNDEN","0.3","OFF CHANNEL, FISHTRAP CREEK","Congressional District 01, Washington","Suzan K. DelBene (D)","S8 T40 R3E","","","","","","","","","Irrigation","Irrigation;Other","Earth","Earth","Earth","Soil","7","7","7","7","Less than 25 feet","2180","0","1994","1990-1999","33","33","15","2.4","0.01","","","0","0","0","0","","","2021-04-09","2015-02-04","5","Significant","Fair","2015-02-04","No","","https://damsafety.org/washington"
"Brown Dam_Lincoln Co.","Russell Brown Dam","","WA00532","","WA00532","BROWN, RUSSELL","Private","Private","LI34-0532","0","UNKNOWN","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.381128","-117.914491","Lincoln","Washington","NONE","0","TR-RINGWOOD LAKE","Congressional District 05, Washington","Cathy McMorris Rodgers (R)","S20 T22 R39E","","","","","","","","","Irrigation","Irrigation;Recreation","Earth","Earth","Earth","Soil","18","18","18","18","Less than 25 feet","200","0","1965","1960-1969","80","80","64","23","8","160","","0","0","0","0","","","2021-04-09","1998-08-20","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
