provider_id,nhdpv2_COMID,nhdpv2_REACHCODE,nhdpv2_REACH_measure,Type_HUC12,Type_Gages,Type_TE,Type_NID,Type_WBIn,Type_WBOut,Type_Conf,Dam Name,Other Names,Former Names,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,State or Federal Agency ID,Number of Associated Structures,Designer Names,Non-Federal Dam on Federal Property,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Source Agency,Latitude,Longitude,County,State,City,Distance to Nearest City (Miles),River or Stream Name,Congressional Representative District,Congressional Representative,"Section, Township, or Range Location",Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Primary Purpose,Purposes,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks,Lock Width (Ft),Years Modified,Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL
57811,13698763,12050004000137,0,120500040506,08079700,NA,TX06464,NA,NA,2625634,John T Montford Dam,NA,NA,NA,TX06464,CITY OF LUBBOCK,Local Government,Local Government,NA,0,CITY OF LUBBOCK;FREESE AND NICHOLS,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,33.061526,-101.04209,Garza,Texas,NA,0,DOUBLE MOUNTAIN FORK BRAZOS R,"Congressional District 19, Texas",Jodey C. Arrington (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Irrigation,Irrigation;Recreation;Water Supply,Earth,Earth,Earth,Soil,141,137,141,141,Greater than 100 feet,4150,20155167,1994,1990-1999,354500,354500,115937,2884,394,363480,Uncontrolled,1740,0,0,0,2012O,Uncontrolled;Other Controlled,2018-07-23,2016-10-12,5,Not Available,Satisfactory,2017-11-29,Yes,2017-12-05,https://damsafety.org/texas
57832,13679757,12050005000004,0,120500050405,NA,NA,TX04827,NA,NA,2625838,Lower Running Water Draw WS SCS Site 3 Dam,NA,0,NA,TX04827,CITY OF PLAINVIEW;HALE COUNTY;HALE COUNTY SWCD,Local Government,Local Government,NA,0,USDA NRCS;USDA NRCS,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,34.251452,-101.89434,Hale,Texas,PLAINVIEW,0,RUNNING WATER DRAW,"Congressional District 19, Texas",Jodey C. Arrington (R),NA,NA,NA,Natural Resources Conservation Service,NA,NA,NA,NA,NA,Flood Risk Reduction,Flood Risk Reduction,Earth,Earth,Earth,Soil,37,37,37,37,25-50 feet,2500,343893,1982,1980-1989,14312,14312,190,54,390.2,17750,Uncontrolled,400,0,0,0,NA,Uncontrolled;Slide (sluice gate),2021-05-24,2018-01-17,5,Not Available,Fair,2021-04-06,No,NA,https://damsafety.org/texas
57834,13672821,12050005000008,0,120500050306,NA,NA,TX03712,NA,NA,NA,Lemons Lake Dam,NA,NA,NA,TX03712,BRENT LEMONS;KEITH LEMONS,Private,Private,NA,0,NO DATA FOR ORIGINAL DESIGNER,NA,Yes,No,NA,Yes,Yes,Yes,Texas,34.357806,-102.131248,Castro,Texas,NA,0,NORTH FORK RUNNING WATER DRAW,"Congressional District 19, Texas",Jodey C. Arrington (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Irrigation,Irrigation,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,15,15,15,15,Less than 25 feet,540,0,1947,1940-1949,321,321,62,0,0,0,None,0,0,0,0,NA,None,2018-07-23,1986-05-01,NA,Not Available,Not Rated,NA,Not Required,NA,https://damsafety.org/texas
57836,13673347,12050005000011,0,120500050207,NA,NA,TX04826,NA,NA,2625838,Lower Running Water Draw WS SCS Site 1 Dam,NA,0,NA,TX04826,CASTRO COUNTY;RUNNING WATER SWCD,Local Government,Local Government,NA,0,USDA NRCS;USDA NRCS,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,34.338238,-102.22487,Castro,Texas,PLAINVIEW,0,RUNNING WATER DRAW,"Congressional District 19, Texas",Jodey C. Arrington (R),NA,NA,NA,Natural Resources Conservation Service,NA,NA,NA,NA,NA,Flood Risk Reduction,Irrigation;Flood Risk Reduction,Earth,Earth,Earth,Soil,38,38,38,38,25-50 feet,1315,187493,1980,1980-1989,9373,9373,200,48,34.46,8401,Uncontrolled,408,0,0,0,NA,Uncontrolled;Slide (sluice gate),2021-05-24,2016-07-07,5,Not Available,Fair,2017-01-04,Yes,2010-12-17,https://damsafety.org/texas
57837,13673345,12050005000013,0,120500050204,NA,NA,TX04715,NA,NA,NA,Running Water Draw WS SCS Site 3 Dam,NA,0,NA,TX04715,PARMER COUNTY;PARMER COUNTY SWCD,Local Government,Local Government,NA,0,USDA NRCS;USDA NRCS,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,34.402719999999995,-102.52896,Parmer,Texas,PLAINVIEW,0,RUNNING WATER DRAW,"Congressional District 19, Texas",Jodey C. Arrington (R),NA,NA,NA,Natural Resources Conservation Service,NA,NA,NA,NA,NA,Flood Risk Reduction,Irrigation;Flood Risk Reduction,Earth,Earth,Concrete,Soil,55,55,55,55,51-100 feet,3250,411260,1979,1970-1979,18499,18499,4427,233,123.9,11387,Uncontrolled,808,0,0,0,NA,Uncontrolled;Slide (sluice gate),2021-05-24,2017-05-17,5,Not Available,Satisfactory,2018-01-08,Yes,2010-12-20,https://damsafety.org/texas
57837,13673345,12050005000013,0,120500050204,NA,NA,TX03855,NA,NA,NA,Flynt Lake No 2 Dam,NA,NA,NA,TX03855,FLYNT LAKE NO 2 DAM,Private,Private,NA,0,NO DATA FOR ORIGINAL DESIGNER,NA,Yes,No,NA,Yes,Yes,Yes,Texas,34.44,-102.593332,Parmer,Texas,NA,0,RUNNING WATER DRAW,"Congressional District 19, Texas",Jodey C. Arrington (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Irrigation,Irrigation,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,20,20,20,20,Less than 25 feet,0,0,1970,1970-1979,150,150,60,0,0,0,None,0,0,0,0,NA,None,2018-07-23,1969-09-08,NA,Not Available,Not Rated,NA,Not Required,NA,https://damsafety.org/texas
57837,13673345,12050005000013,0,120500050204,NA,NA,TX03856,NA,NA,NA,Flynt Lake No 1 Dam,NA,NA,NA,TX03856,EARNEST W FLYNT JR ET AL,Private,Private,NA,0,NO DATA FOR ORIGINAL DESIGNER,NA,Yes,No,NA,Yes,Yes,Yes,Texas,34.448332,-102.596667,Parmer,Texas,NA,0,RUNNING WATER DRAW,"Congressional District 19, Texas",Jodey C. Arrington (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Irrigation,Irrigation,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,18,18,18,18,Less than 25 feet,0,0,1970,1970-1979,150,150,60,0,0,0,None,0,0,0,0,NA,None,2018-07-23,1969-09-08,NA,Not Available,Not Rated,NA,Not Required,NA,https://damsafety.org/texas
57841,13667057,12050005000022,77.00356,120500050105,NA,NA,NM00422,NA,NA,NA,Running Water Draw Site 1 Dam,Ned Hauk Dam;Running Water Draw Dam,0,NA,NM00422,CENTRAL CURRY SOIL & WATER CONSERVATION DISTRICT,Local Government,Local Government,D-422,0,USDA NRCS;USDA NRCS,NA,Yes,Yes,OFFICE OF THE STATE ENGINEER,Yes,Yes,Yes,New Mexico,34.518,-103.1495,Curry,New Mexico,"BOVINA, TX",NA,RUNNING WATER DRAW,"Congressional District 03, New Mexico",Ben Ray LujÃ¡n (D),T3N R36E S3,NA,NA,Natural Resources Conservation Service,NA,NA,NA,NA,NA,Flood Risk Reduction,Water Supply;Flood Risk Reduction,Earth,Earth,NA,Unlisted/Unknown,65,65,78,78,51-100 feet,3208,0,1975,1970-1979,25150,25150,2170,1581,128,39798,Uncontrolled,0,0,0,0,NA,Slide (sluice gate),2021-05-24,2015-04-21,3,High,Poor,2015-04-21,No,NA,https://damsafety.org/new-mexico
57846,13679759,12050005000050,0,120500050404,NA,NA,TX04731,NA,NA,2639139,Lower Running Water Draw WS SCS Site 4 Dam,NA,0,NA,TX04731,CITY OF PLAINVIEW;HALE COUNTY;HALE COUNTY SWCD,Local Government,Local Government,NA,0,USDA NRCS;USDA NRCS,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,34.206897,-101.796487,Hale,Texas,PLAINVIEW,0,SLATON DRAW,"Congressional District 19, Texas",Jodey C. Arrington (R),NA,NA,NA,Natural Resources Conservation Service,NA,NA,NA,NA,NA,Flood Risk Reduction,Flood Risk Reduction,Earth,Earth,Earth,Soil,28,28,28,28,25-50 feet,3450,101280,1976,1970-1979,2958,2958,424,53,9.7,17679,Uncontrolled,360,0,0,0,NA,Uncontrolled;Slide (sluice gate),2021-05-24,2016-07-07,5,Not Available,Fair,2017-01-04,Yes,2017-06-08,https://damsafety.org/texas
57863,14023862,12050006000297,0,120500060306,NA,NA,TX04957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58028,5491015,12060102038803,0,120601020306,08083200,NA,TX02735,NA,NA,NA,Lake Sweetwater Dam,NA,NA,NA,TX02735,CITY OF SWEETWATER,Local Government,Local Government,NA,0,HAWLEY AND  FREESE AND NICHOLS,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,32.439101,-100.306145,Nolan,Texas,TRUBY,38,BITTER & COTTONWOOD CREEKS,"Congressional District 19, Texas",Jodey C. Arrington (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation;Water Supply,Earth,Earth,Earth,Rock;Soil,58,58,69,69,51-100 feet,3030,0,1930,1930-1939,19340,19340,2544,220.5,104,208955,NA,610,0,0,0,NA,Uncontrolled;Slide (sluice gate);Valve;Other Controlled,2018-07-23,2013-11-06,5,Not Available,Fair,2014-06-18,Yes,2012-04-23,https://damsafety.org/texas
58053,5522448,12060104000005,0,120601040302,08087300,NA,TX03938,NA,NA,NA,Old Eureka Mill Reservoir Dam,NA,NA,NA,TX03938,BRECKENRIDGE GASOLINE CO,Private,Private,NA,0,NO DATA FOR ORIGINAL DESIGNER,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,32.960242,-98.767153,Young,Texas,ELIASVILLE,0,CLEAR FORK BRAZOS RIVER,"Congressional District 19, Texas",Jodey C. Arrington (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation;Water Supply,Gravity,Gravity,Unlisted/Unknown,Unlisted/Unknown,13,13,13,13,Less than 25 feet,127,0,1900,1900-1909,560,560,454,0,0,0,None,0,0,0,0,NA,None,2018-07-23,1982-09-09,NA,Not Available,Not Rated,NA,Not Required,NA,https://damsafety.org/texas
58095,5525709,12060105014954,0,120601050201,NA,NA,TX03117,NA,NA,NA,Mccarty Lake Dam,NA,NA,NA,TX03117,CITY OF ALBANY,Local Government,Local Government,NA,0,FREESE AND NICHOLS;NO DATA,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,32.658153,-99.359658,Shackelford,Texas,NA,0,SALT PRONG HUBBARD CREEK,"Congressional District 19, Texas",Jodey C. Arrington (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Supply,Water Supply,Earth,Earth,Earth,Rock;Soil,50,50,50,50,25-50 feet,1250,0,1942,1940-1949,6696,6696,2600,263,44,0,Uncontrolled,225,0,0,0,1980S,Uncontrolled,2018-07-23,2014-05-06,5,Not Available,Fair,2014-12-19,Yes,2013-01-09,https://damsafety.org/texas
58111,5494626,12060201000102,0,120602010603,NA,NA,TX07265,NA,NA,2626946,Nethery Dam,NA,NA,NA,TX07265,TOM NETHERY,Private,Private,NA,0,NO DATA FOR ORIGINAL DESIGNER,NA,Yes,No,NA,Yes,Yes,Yes,Texas,33.031276999999996,-98.236166,Jack,Texas,NA,0,WEST FORK KEECHI CREEK,"Congressional District 13, Texas",Mac Thornberry (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,Other,Earth,Earth,Earth,Unlisted/Unknown,27,0,0,27,25-50 feet,0,0,NA,Undetermined,160,160,70,0,0,0,Uncontrolled,93,0,0,0,NA,Uncontrolled,2018-07-23,2007-01-29,NA,Not Available,Not Rated,NA,Not Required,NA,https://damsafety.org/texas
58135,5497020,12060201000307,0,120602010903,NA,NA,TX03836,NA,NA,NA,Richards Lake No 2 Dam,NA,NA,NA,TX03836,ROBERT RICHARDS,Private,Private,NA,0,NO DATA FOR ORIGINAL DESIGNER,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,32.556393,-98.249293,Palo Pinto,Texas,SANTO,5,BIG SUNDAY CREEK,"Congressional District 11, Texas",K. Michael Conaway (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,24,24,24,24,Less than 25 feet,478,0,1972,1970-1979,749,749,36,5,0,0,None,0,0,0,0,NA,None,2018-07-23,NA,NA,Not Available,Not Rated,NA,Not Required,NA,https://damsafety.org/texas
58135,5497020,12060201000307,0,120602010903,NA,NA,TX03837,NA,NA,NA,Richards Lake No 1 Dam,NA,NA,NA,TX03837,ROBERT AND RICHARDS,Private,Private,NA,0,NO DATA FOR ORIGINAL DESIGNER,NA,Yes,No,NA,Yes,Yes,Yes,Texas,32.551148,-98.249339,Palo Pinto,Texas,SANTO,6,LITTLE SUNDAY CREEK,"Congressional District 11, Texas",K. Michael Conaway (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,20,20,20,20,Less than 25 feet,478,0,1972,1970-1979,160,160,24,6,0,0,None,0,0,0,0,NA,None,2018-07-23,NA,NA,Not Available,Not Rated,NA,Not Required,NA,https://damsafety.org/texas
58158,5497152,12060201040494,0,120602010506,08088500,NA,TX03849,NA,120053359,NA,Morris Sheppard Dam,NA,NA,NA,TX03849,BRAZOS RIVER AUTHORITY,Local Government,Local Government,NA,0,FORREST AND COTTON AND  FREESE AND NICHOLS INC;FORREST AND COTTON AND  FREESE AND NICHOLS INC,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,32.871565,-98.426522,Palo Pinto,Texas,NA,0,BRAZOS RIVER,"Congressional District 11, Texas",K. Michael Conaway (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric,Irrigation;Recreation;Hydroelectric;Water Supply,Buttress,Buttress,Concrete,Rock;Soil,187,187,189,189,Greater than 100 feet,2740,0,1941,1940-1949,1365000,1365000,750000,17700,14030,507762,NA,2120,0,0,0,1994S,Uncontrolled;Valve;Other Controlled,2021-04-09,2014-05-14,5,Not Available,Fair,2021-04-06,Yes,2017-06-26,https://damsafety.org/texas
58202,5514264,12060202028766,0,120602020707,NA,NA,TX04110,NA,NA,NA,Tradinghouse Dam,NA,Tradinghouse Steam Electric Station Dam,NA,TX04110,LUMINANT POWER COMPANY LLC,Private,Private,NA,0,FORREST AND COTTON,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,31.54871,-96.97951,McLennan,Texas,NA,0,TRADINGHOUSE CREEK,"Congressional District 17, Texas",Bill Flores (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,Other,Earth,Earth,Earth,Soil,60,60,60,60,51-100 feet,7600,0,1968,1960-1969,59000,59000,37814,2012,39,83239,NA,1588,0,0,0,NA,Uncontrolled;Slide (sluice gate);Other Controlled,2018-07-23,2017-07-18,5,Not Available,Satisfactory,2014-06-18,Yes,2018-01-02,https://damsafety.org/texas
58203,5513692,12060202028981,0,120602020408,08092500,NA,TX00017,NA,120053204,NA,Whitney Dam,NA,NA,NA,TX00017,USACE - Fort Worth District,Federal,Federal,NA,1,CESWF,No,No,No,NA,No,No,No,US Army Corps of Engineers,31.867647808000097,-97.370498229,Hill,Texas,WACO,32,BRAZOS RIVER,"Congressional District 25, Texas",Roger Williams (R),NA,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers;Federal Energy Regulatory Commission,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,Flood Risk Reduction,Fish and Wildlife Pond;Recreation;Hydroelectric;Water Supply;Flood Risk Reduction,Earth,Earth,Earth,Rock;Soil,159,148,166,166,Greater than 100 feet,7538,2253300,1951,1950-1959,2100400,2100400,627100,23560,17656,632000,Controlled,680,0,0,0,NA,NA,2022-01-03,2020-05-26,5,High,Not Available,NA,Yes,2019-09-24,NA
58226,5530224,12060204000017,0,120602040302,NA,NA,TX03440,NA,NA,2627700,Beecherl Dam,NA,NA,NA,TX03440,LOUIS BEECHERL JR,Private,Private,NA,0,NO DATA FOR ORIGINAL DESIGNER,NA,Yes,No,NA,Yes,Yes,Yes,Texas,32.038632,-97.781101,Bosque,Texas,NA,0,EAST BOSQUE RIVER,"Congressional District 25, Texas",Roger Williams (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Irrigation,Irrigation,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,32,32,32,32,25-50 feet,0,0,1966,1960-1969,307,307,65,9,0,0,None,0,0,0,0,NA,None,2018-07-23,NA,NA,Not Available,Not Rated,NA,Not Required,NA,https://damsafety.org/texas
58325,5577839,12070103000023,0,120701030706,NA,NA,TX03067,NA,NA,2627369,Moody Lake Dam,NA,NA,NA,TX03067,JOHN MOODY,Private,Private,NA,0,NO DATA FOR ORIGINAL DESIGNER,NA,Yes,No,NA,Yes,Yes,Yes,Texas,30.535973,-96.111348,Grimes,Texas,NA,0,TR-GIBBONS CREEK,"Congressional District 08, Texas",Kevin Brady (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,10,10,10,10,Less than 25 feet,580,0,1958,1950-1959,90,90,30,10,0,0,None,0,0,0,0,NA,None,2018-07-23,NA,NA,Not Available,Not Rated,NA,Not Required,NA,https://damsafety.org/texas
58325,5577839,12070103000023,0,120701030706,NA,NA,TX06939,NA,NA,2627369,Tmpa Gibbons Creek Mine Dam Sp 10 10a,NA,NA,NA,TX06939,TEXAS MUNICIPAL POWER AGENCY,Local Government,Local Government,NA,0,MORRISON KNUDSEN,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,30.542776999999997,-96.111667,Grimes,Texas,NA,0,TR-GIBBONS CREEK,"Congressional District 08, Texas",Kevin Brady (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,Other,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,20,20,20,20,Less than 25 feet,2600,0,1990,1990-1999,394,394,134,31,0.26,0,None,0,0,0,0,NA,None,2018-07-23,1994-10-01,NA,Not Available,Not Rated,NA,Yes,NA,https://damsafety.org/texas
58326,5577655,12070103000029,0,120701030705,NA,NA,TX04634,NA,NA,NA,Gibbons Creek Dam,NA,NA,NA,TX04634,TEXAS MUNICIPAL POWER AGENCY,Local Government,Local Government,NA,0,FREESE AND NICHOLS,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,30.609447,-96.065132,Grimes,Texas,"NAVASOTA",20,GIBBONS CREEK,"Congressional District 08, Texas",Kevin Brady (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric,Recreation;Hydroelectric,Earth,Earth,Earth,Soil,50,50,50,50,25-50 feet,6150,0,1981,1980-1989,81874,81874,32084,2770,85,204150,NA,1636,0,0,0,NA,Uncontrolled;Slide (sluice gate);Other Controlled,2021-04-09,2016-03-01,5,Not Available,Not Rated,NA,Yes,2012-01-25,https://damsafety.org/texas
58373,5576217,12070103032917,0,120701030502,NA,NA,TX02137,NA,NA,NA,Camp Creek Lake Dam,NA,NA,NA,TX02137,CAMP CREEK WATER COMPANY,Private,Private,NA,0,FREESE AND NICHOLS AND  TURNER,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,31.062071999999997,-96.286446,Robertson,Texas,NA,0,CAMP CREEK,"Congressional District 17, Texas",Bill Flores (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation;Water Supply,Earth,Earth,Earth,Soil,49,49,49,49,25-50 feet,1750,0,1949,1940-1949,25000,25000,8400,750,40,28600,Uncontrolled,360,0,0,0,NA,Uncontrolled;Other Controlled,2018-07-23,2009-03-23,NA,Not Available,Not Rated,NA,Not Required,NA,https://damsafety.org/texas
58384,3124470,12070104000112,0,120701040502,NA,NA,TX01751,NA,NA,NA,Columbia Lakes Reservoir Dam,NA,Tenneco Lake No 1 Levee,NA,TX01751,IMS LEASING CORPORATION;MICHAEL CHAPMAN;VARNER CREEK UTILITY DISTRICT,Private;Local Government,Local Government,NA,0,"KENNETH BRITON, PE",NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,29.152247,-95.619508,Brazoria,Texas,WEST COLUMBIA,1,OFF CH-VARNER CREEK,"Congressional District 14, Texas",Randy K. Weber Sr. (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation,Earth,Earth,Earth,Soil,10,10,10,10,Less than 25 feet,16720,0,1967,1960-1969,2810,2810,1686,279,0.4,0,None,0,0,0,0,NA,Slide (sluice gate),2021-04-09,2015-02-11,5,Not Available,Not Rated,NA,Yes,2016-05-27,https://damsafety.org/texas
58518,5586858,12070203000112,0,120702030305,NA,NA,TX00980,NA,NA,2627230,Sulphur Creek WS SCS Site 6 Dam,NA,0,NA,TX00980,HILL COUNTRY SWCD;LAMPASAS COUNTY WCID 1,Local Government,Local Government,NA,0,USDA NRCS;USDA NRCS,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,31.040082,-98.229197,Lampasas,Texas,LAMPASAS,0,BEAN CREEK,"Congressional District 25, Texas",Roger Williams (R),NA,NA,NA,Natural Resources Conservation Service,NA,NA,NA,NA,NA,Flood Risk Reduction,Flood Risk Reduction,Earth,Earth,Earth,Rock;Soil,54,54,100,100,51-100 feet,2748,352000,1961,1960-1969,9252,9252,200,38,48.7,146038,Uncontrolled,805,0,0,0,NA,Uncontrolled;Valve,2021-05-24,2017-01-18,5,Not Available,Fair,2017-08-01,No,NA,https://damsafety.org/texas
58583,5671619,12070205000148,0,120702050401,NA,NA,TX01360,NA,NA,NA,Walsh Lake Dam,NA,NA,NA,TX01360,EJ WALSH ESTATE,Private,Private,NA,0,NO DATA FOR ORIGINAL DESIGNER,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,30.522308,-97.748596,Williamson,Texas,ROUND ROCK,4,BRUSHY CREEK,"Congressional District 31, Texas",John R. Carter (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire Protection, Stock, Or Small Fish Pond","Recreation;Fire Protection, Stock, Or Small Fish Pond",Gravity,Gravity,Unlisted/Unknown,Unlisted/Unknown,11,11,11,11,Less than 25 feet,175,0,1930,1930-1939,64,64,64,10,0,0,None,0,0,0,0,NA,None,2018-07-23,1988-10-19,NA,Not Available,Not Rated,NA,Not Required,NA,https://damsafety.org/texas
58735,5721979,12080008007258,0,120800080306,08125500,NA,TX03516,NA,NA,NA,Oak Creek Dam,NA,NA,NA,TX03516,CITY OF SWEETWATER,Local Government,Local Government,NA,0,FREESE AND NICHOLS,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,32.040178,-100.268298,Coke,Texas,NA,0,OAK CREEK,"Congressional District 11, Texas",K. Michael Conaway (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Supply,Water Supply,Earth,Earth,Unlisted/Unknown,Soil,87,87,95,95,51-100 feet,3800,0,1950,1950-1959,79336,79336,39360,2375,244,2,Uncontrolled,1100,0,0,0,NA,Uncontrolled;Valve,2018-07-23,2013-11-05,5,Not Available,Fair,2014-06-18,Yes,2012-04-23,https://damsafety.org/texas
58739,5722903,12080008007272,0,120800080207,NA,NA,TX03517,NA,5722027,NA,Robert Lee Dam,NA,NA,NA,TX03517,COLORADO RIVER MUNICIPAL WATER DISTRICT,Local Government,Local Government,NA,0,FREESE AND NICHOLS,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,31.896285,-100.516127,Coke,Texas,ROBERT LEE,1,COLORADO RIVER,"Congressional District 11, Texas",K. Michael Conaway (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation;Water Supply,Earth,Earth,Earth,Soil,140,139,140,140,Greater than 100 feet,18300,41082000,1969,1960-1969,1139200,1139200,517272,15100,4140,607000,NA,3201,0,0,0,NA,Uncontrolled;Vertical Lift;Other Controlled,2021-04-09,2012-09-26,5,Not Available,Poor,2021-04-06,Yes,2012-02-28,https://damsafety.org/texas
58748,5656750,12090101000031,0,120901010404,08127000,NA,TX03240,NA,NA,2641055,Lee Lake Dam,NA,NA,NA,TX03240,CITY OF BALLINGER,Local Government,Local Government,NA,0,B W CLAUNCH,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,31.739438,-99.935481,Runnels,Texas,BALLINGER,0,ELM CREEK,"Congressional District 11, Texas",K. Michael Conaway (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation,Rockfill,Rockfill,Unlisted/Unknown,Unlisted/Unknown,10,10,10,10,Less than 25 feet,145,0,1941,1940-1949,168,168,105,0,0,0,None,0,0,0,0,NA,None,2018-07-23,1977-11-17,NA,Not Available,Not Rated,NA,Not Required,NA,https://damsafety.org/texas
58748,5656750,12090101000031,0,120901010404,08127000,NA,TX03243,NA,NA,2641055,Elm Creek Lake Dam,NA,NA,NA,TX03243,CITY OF BALLINGER,Local Government,Local Government,NA,0,R F DAVIS,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,31.750167,-99.944932,Runnels,Texas,BALLINGER,1,ELM CREEK,"Congressional District 11, Texas",K. Michael Conaway (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,23,23,23,23,Less than 25 feet,450,0,1930,1930-1939,6018,6018,410,0,0,6018,Uncontrolled,1675,0,0,0,NA,Uncontrolled,2018-07-23,1985-02-27,NA,Not Available,Not Rated,NA,Not Required,NA,https://damsafety.org/texas
58755,5654710,12090101000076,0,120901010205,NA,NA,TX05952,NA,NA,2641125,Ballinger Municipal Lake Dam,NA,NA,NA,TX05952,CITY OF BALLINGER,Local Government,Local Government,NA,0,HDR,NA,Yes,Yes,TCEQ,Yes,Yes,Yes,Texas,31.730465,-100.040373,Runnels,Texas,BALLINGER,5,VALLEY CREEK,"Congressional District 11, Texas",K. Michael Conaway (R),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation;Water Supply,Earth,Earth,Earth,Unlisted/Unknown,76,76,76,76,51-100 feet,6200,999090,1985,1980-1989,34353,34353,6050,560,234,237034,Uncontrolled,876,0,0,0,NA,Uncontrolled;Valve,2021-04-09,2015-01-07,5,Not Available,Fair,2021-04-06,Yes,2013-01-09,https://damsafety.org/texas
